Key;English;
french_canadian;Acadian;
QUE_1;Upper Quebec;
QUE_2;Lower Quebec;
QUE_3;Nova Scotia;
QUE_4;Prince Edward Island;
YUC_reactionary;Yucatan Protection Party;
YUC_conservative;Yucatan Conservative Party;
YUC_liberal;Yucatan Liberal Party;
YUC_socialist;Yucatan Socialist Party;
YUC_fascist;Yucatan Fascist Party;
YUC;Yucatan;
YUC_ADJ;Yucatecan;
CAU;North Caucasia;
CAU_ADJ;North Caucasian;
TCA;Transcaucasia;
TCA_ADJ;Transcaucasian;
CIR;Circassia;
CIR_ADJ;Circassian;
CIR_reactionary;Circassian Tribal Party;
CIR_conservative;Circassian Conservative Party;
CIR_liberal;Circassia Federal Party;
YUC_socialist;Circassian Socialist Party;
CIR_fascist;Circassian Fascist Party;
YUC_event_2;The Yucatan Republic has requested our intervention in the Yucatan Peninsula to help them defend them, resulting in the Yucatan being annexed by the US as a state. With congress being dominated by Republicans or Moderate Democrats this should be an easy bill to pass.;
YUC_event_1;The Yucatan Republic has declared independence from Mexico and has requested that we recognize it as a state and remove any sanctions we have on them.;
YUC_MEX1;Disgruntled Mayans and regular Mexicans in the Yucatan have declared independence and established the Yucatan Republic.;
engevent1;The United States has taken it upon themselves, with the leverage of their new state in the Yucatan and a sizable army, to demand that we withdraw from Belize as an end to one section of colonial rule in the Americas, saying no could be a fatal endeavor.;
UCA_2190;Belize;
ENG_76;Labrador;
newfoundlandlibre;Newfoundland had been under British rule since 1583, having been a colony with no rights for over 250 years, the local inhabitants are largely Scottish and Irish with other immigrants and have met our liberation of their home with resounding applause.; 
expel_britain_from_belize_title;Expel the British from Belize;
expel_britain_from_belize_desc;Belize remains one of the only remaining examples of European Colonialism on the continent, if we truly want the end of European Colonialism on the American continent we must expel the British from Belize.;
texas_black_gold;Texan Black Gold;
rise_of_california;Rise of California;
pennsylvania_dutch;Pennsylvania Dutch;
liberate_newfoundland_title;Liberate Newfoundland;
liberate_newfoundland_desc;When Canada was liberated decades ago many figures in the country had been content with our gains in the North, however since then we have become stronger than even the people just 30 years ago could imagine. Perhaps it would be prudent to fully liberate North American from British Rule once and for all.;
engevent2;Since Canada was conquered by the American Rebels decades ago the evil rebels had their eyes on our last holdings in America, intent on seizing all of them. It appears they have finally acted on those ambitions as the Royal Newfoundland Border Guard has reported an incursion of American troops into the dense forests of Labrador.;
PROV28;Pocanth City;
PROV3255;Texas Oklahoma;x
rail_focus;Colonial Policy;
colonial_immigration;Encourage Colonial Migration;
encourage_agriculture;Encourage Agriculture;
encourage_mining;Encourage Mining;
encourage_business;Encourage Business;
militancy_appeasement;Colonial Appeasement;
consciousness_appeasement;Colonial Propaganda;
treaty_port_casus_belli;Punitive Expedition;
treaty_port_casus_belli_desc;Force a 即country劬 to negotiate an 即unequal treaty劬, which includes a 即treaty port劬 if there's one available.;
treaty_port_casus_belli_short;Negotiate an unequal treaty;
treaty_port_casus_belli_setup;Force a 即country劬 to negotiate an 即unequal treaty劬, which includes a 即treaty port劬 if there's one available;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME;$ORDER$$FIRST$-$SECOND$ War;
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME;$ORDER$$FIRST$-$SECOND$ War;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME_ENG_QNG;$ORDER$Opium War;
renounce_northern_epirus_title;Renounce our claim on Northern Epirus;
renounce_northern_epirus_desc;Northern Epirus, once a solidly Greek area has slowly fallen from our grasp to become what it is today, it is no longer Greek and as such perhaps it would be better to allow the Albanians to have it to improve our international standing and relations with Albania.;
social_mobility;Social Mobility;
entrenched_nobility;Entrenched Nobility;
entrenched_nobility_desc;The Nobility is heavily entrenched and a caste system is in place where very limited nobility is allowed.;
limited_mobility;Limited Mobility;
limited_mobility_desc;It takes a great deal for people to move from the class they were born in and certain families have entrenched rights.;
full_mobility;Full Mobility;
full_mobility_desc;All people are allowed to move between classes freely and no family rights are entrenched by government.;
RUS_1103;North Azerbaijan;
chechen;Chechen;
dagestani;Dagestani;
circassian;Circassian;
baltic_german;Baltic German;
cypriot;Cypriot;
hellenic;Hellenic;
cuban;Cuban;
swiss_german;Swiss German;
scottish;Scottish;
breton;Breton;
corsican;Corsican;
PROV206;Columbia;
PROV349;Tallinn;
PROV3249;Montroaux;
PROV3250;Kladsko;
PROV3251;Novy Targ;
PROV3252;Artsakh;
PROV3253;Wiek;
establish_caucasus_viceroyalty_title;Establish Caucasus Viceroyalty;
establish_caucasus_viceroyalty_desc;For years Caucasia has had autonomy under Russian rule. It shall not remain this way any longer, they are a vital part of Russia;
two_land_of_the_free;Land of the Free;
SUD_reactionary;Sudeten Party;
SUD_conservative;Christian Democratic Party;
SUD_liberal;Reich Liberal Party;
SUD_socialist;Sudeten Socialist Party;
SUD_fascist;National Socialist Sudeten German Worker's Party;
SUD;Sudetenland;
SUD_ADJ;Sudeten;
SIB_reactionary;Transylvanian Guard;
SIB_conservative;Moderat Party;
SIB_liberal;Demokratisch Saxon Party;
SIB_socialist;Socialist Party of Transylvania;
SIB_fascist;National Socialist Transylvanian German Worker's Party;
SIB;Siebenburgen;
SIB_ADJ;Siebenburger;
SIE;Szeklerland;
SIE_ADK;Erdelyi;
TAN_reactionary;Iron Guard;
TAN_conservative;Moderate Party;
TAN_liberal;Transylvanian Liberal Coalition;
TAN_socialist;Party of Transylvanian Socialist;
TAN_fascist;Iron_Guard;
TAN;Transylvania;
TAN_ADJ;Transylvanian;
czh_accept_polish_identity_title;Accept Polish Identity;
czh_accept_polish_identity_desc;With our recent acquisition of Polish Majority lands many of our brethren have pointed towards our common Slavic identity and common cultural features as evidence of why we should welcome Poles as our cultural brethren. It is time to listen to them and welcome the Poles with open arms.;
zap_integrate_ukrainians_title;Accept Ukrainian Identity;
zap_integrate_ukrainians_desc;When the Prague slavic council, the basis of the Zapodoslav idea, was held during the 1848 revolutions, Ukraine and it's Poles and Ruthenians both participated in large numbers, having the most delegates of any cultural group. It is time that we recognize their contributions to West Slavic independence from Austria by welcoming them as our own West Slavs.;
decrease_tension;Decrease Tension;
liberation_of_daruvar_title;Liberation of Daruvar;
liberation_of_daruvar_desc;For years our Czech brethren residing in Croatia have been opressed. With our recent acquisition of the lands they live in they shall be oppressed no more. With our liberation of Daruvar even the farthest away Czech lands have been liberated under Czechoslovakia.;
nv_libertarian;Libertarian;
nv_productivity;Productivity;
1848_AUS;Following a drift away from the ideals of the enlightenment in Austria over the past 35 years tensions have slowly been growing among the various nationalities in Austria.;
1848_AUS2;War has come to Austria after the secession of the outer parts of the empire and Hungary itself!;
renovate_athens_title;Renovate Athens; 
renovate_athens_desc;Athens is in dire need of some degree of government help. We must invest the neccesary funds into the city to help it.; 
urban;City;
zapodoslavia_title;Form Zapodoslavia;
zapodoslavia_desc;Our common West Slavic identity, Historical ties, modern cooperation, and a stronger West Slavic state are all strong arguments among many for a union between the west Slavic Poles, Czechs, and Slovaks into a single state named Zapodoslavia. Now that we have achieved sufficient dominance in the areas inhabited by West Slavs we may now enact the idea of a united Zapodoslavia.;
zapodoslaviaboh_title;Form Zapodoslavia;
zapodoslaviaboh_desc;Our common West Slavic identity, Historical ties, modern cooperation, and a stronger West Slavic state are all strong arguments among many for a union between the west Slavic Poles, Czechs, and Slovaks into a single state named Zapodoslavia. Now that we have achieved sufficient dominance in the areas inhabited by West Slavs we may now enact the idea of a united Zapodoslavia.;
ZAP_reactionary;Zapodoslav National Union;
ZAP_conservative;West Slavic Christian Party;
ZAP_liberal;Zapodoslav Union Party;
ZAP_socialist;Socialist West Slavic Party;
ZAP_fascist;Zapodoslavian Fascist Party;
ZAP;Zapodoslavia;
ZAP_ADJ;Zapodoslav;
TYR_reactionary;Old Guard;
TYR_conservative;Tyroler Union Party;
TYR_liberal;Tyroler Liberal Party;
TYR_socialist;Socialist Tyrol Party;
TYR_fascist;Tyrol Fascista Party;
TYR;South Tyrol;
TYR_ADJ;Tyroler;
city_of_liberty;City of Liberty;
EVTOPTB19300;It is only natural Philadelphia gets it.;
EVTOPTC19300;Toronto has earned the statue of Liberty.;
RIO_reactionary;Rio Grande Party;
RIO_conservative;Catholic Party;
RIO_liberal;Republican Party;
RIO_socialist;United Socialist Party;
RIO_fascist;Grandese Fascista Party;
RIO;Rio Grande;
RIO_ADJ;Rio Grandese;
TXS;Texan Settlers;
TXS_ADJ;Texan Settlers;
TEX1;Settlers from Texas and the wider USA have flocked to the lands of our country. These Texans provide a boon to our greater economy and local economy alike, but also cause cultural issues.;
TEX3;More people from our allies, the Americans, have come from the East to our great country to live and participate in our society.;
block_texans_title;Block the Texans;
block_texans_desc;The troublesome American settlers have caused cultural conflict with the native Mexicans in our country. We must stop the settlers from coming to our country.;
cal_event_1;A combination of factors including open, free land, coastal access, freshwater and gold supply, and other geographical features have led to a population boom in the state of California.;
southern_manifest_destiny_title;Southern Manifest Destiny;
southern_manifest_destiny_desc;For decades since we acquired the Louisiana territory Americans have been calling for Southern Expansion, particularly that in Mexico. Now that we have sufficient resources and a greater international standing we must act on these plans for the future of the nation.;
switzerland_expansionism_ita_title;Swiss Italian Irredentia;
switzerland_expansionism_ita_desc;Switzerland's common culture and geographic features with Northern Italy have made the more ambitious Swiss citizens eager to take the most northern of Italian territories.;
switzerland_expansionism_aus_title;Swiss Austrian Irredentia;
switzerland_expansionism_aus_desc;Switzerland's common culture and geographic features with West Austria have made the more ambitious Swiss citizens eager to take the western Austrian territories.;
switzerland_expansionism_sgf_title;Swiss South German Irredentia;
switzerland_expansionism_sgf_desc;Switzerland's common culture and geographic features with South Germany have made the more ambitious Swiss citizens eager to take the most southern of German territories.;
switzerland_expansionism_fra_title;Swiss French Irredentia;
switzerland_expansionism_fra_desc;Switzerland's common culture and geographic features with Southeastern France have made the more ambitious Swiss citizens eager to take the mountainous Southeast Part of France.;
reclaim_greatness_title;Texas Greatness;
reclaim_greatness_desc;Texas will gain lost.;
PRU_682;Nord Schlesien;
PRU_684;Sud Schlesian;
czechoslovakia1;Many Bohemians and Slovaks have been calling for a union between Czech and Slovaks with the consent of both govermnents, forming into a union state called Czechoslovakia, shall we consent and hope our counterparts do the same?;
strong_police;Strong Police;
gifted;Gifted;
moral_crusader;Moral Crusader;
shy;Shy;
ARW_NAME;American Revolutionary War;
ARW_DESC;Tensions in North America have reached a boiling point as Delaware declared independence against the British crown, soon the Fourteen Colonies will form a confederation of states, the USA.;
fabric_factory_wool;Wool Fabric Factory;
UBD_adj;Baltic German;
RUS_354;Livonia;
RUS_357;Courland;
take_capital;Take Capital State;
demand_concession_capital;Demand Capital Concession;
demand_concession_capital_BC_casus_belli_desc;Force an 即uncivilized country劬 to secede territory to form a colonial concession.;Obligez un 即pays non civilis擏W ?faire s嶰ession d'un territoire pour former une concession coloniale.;Zwingen Sie ein 即unzivilisiertes Land劬, Gebiete zur Grdung einer Kolonialkonzession abzuspalten.;;;;;;;;;;;
demand_concession_capital_BC_casus_belli_setup;Demand that $RECIPIENT$ secede territory to form a colonial concession.;Demandez ?ce que $RECIPIENT$ fasse s嶰ession d'un territoire pour former une concession coloniale.;Verlangen Sie, dass $RECIPIENT$ Gebiete zur Grdung einer Kolonialkonzession abspaltet.;;;;;;;;;;;
demand_concession_capital_BC_casus_belli_short;Demand $STATE$;Demander $STATE$;Fordern Sie $STATE$;;;;;;;;;;;
take_capital_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;
take_capital_setup;Acquire $STATE$ from $RECIPIENT$;Prendre $STATE$ de $RECIPIENT$;$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;
TUR_829;Thrace;
TUR_860;Bosporus;
claim_sudetenland_title;Claim Sudetenland;
claim_sudetenland_desc;The Sudeten Germans have lived in the Sudetenland for centuries, since the days of the Holy Roman Empire. These Germans have been political unrepresented for most of history in their mostly Czech countries. We will liberate all Germans in Europe through careful maneuvering.;
PROV3254;Belluno;